#TYPE=Extended
#OBSCODE=XXXX
#SOFTWARE=Calibra 2.0
#DELIM=,
#DATE=HJD
#OBSTYPE=CCD
#TRANS=YES
NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,NOTES
AE UMa,2461142.352655,11.4397,0.0104,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.064,na
AE UMa,2461142.354050,11.4401,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.065,na
AE UMa,2461142.355444,11.4315,0.0104,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.066,na
AE UMa,2461142.356839,11.4311,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.068,na
AE UMa,2461142.358232,11.3855,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.069,na
AE UMa,2461142.359627,11.3570,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.070,na
AE UMa,2461142.361022,11.3290,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.072,na
AE UMa,2461142.362416,11.2758,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.073,na
AE UMa,2461142.363810,11.2085,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.075,na
AE UMa,2461142.365205,11.1361,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.076,na
AE UMa,2461142.366600,11.0487,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.078,na
AE UMa,2461142.367993,10.9590,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.079,na
AE UMa,2461142.369388,10.9028,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.081,na
AE UMa,2461142.370782,10.8699,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.083,na
AE UMa,2461142.372177,10.8440,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.084,na
AE UMa,2461142.373571,10.8590,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.086,na
AE UMa,2461142.374966,10.8841,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.088,na
AE UMa,2461142.376360,10.9125,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.090,na
AE UMa,2461142.377755,10.9205,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.091,na
AE UMa,2461142.379149,10.9462,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.093,na
AE UMa,2461142.380543,10.9832,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.095,na
AE UMa,2461142.381937,11.0180,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.097,na
AE UMa,2461142.383332,11.0347,0.0102,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.099,na
AE UMa,2461142.386319,11.0979,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.103,na
AE UMa,2461142.389259,11.1482,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.108,na
AE UMa,2461142.392155,11.2004,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.112,na
AE UMa,2461142.393550,11.2166,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.115,na
AE UMa,2461142.394945,11.2456,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.117,na
AE UMa,2461142.396339,11.2547,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.119,na
AE UMa,2461142.397733,11.2621,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.122,na
AE UMa,2461142.399128,11.2876,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.124,na
AE UMa,2461142.400522,11.3035,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.126,na
AE UMa,2461142.401917,11.3213,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.129,na
AE UMa,2461142.403312,11.3311,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.132,na
AE UMa,2461142.404706,11.3340,0.0103,V,YES,STD,TYC 2998 1166 1,12.017,na,na,1.134,na
