ra_deg,dec_deg,b_inst,v_inst,b_cat,v_cat,color_inst,color_cat,diff_b,diff_v
143.05966,43.73769,-15.58739,-15.9619,8.15322346954956,7.657468209835816,0.3745100000000008,0.4957552597137447,23.740613469549558,23.619368209835816
145.14888,44.54131,-14.97839,-15.4389,8.938824112633302,8.737463382373535,0.4605100000000011,0.20136073025976664,23.917214112633303,24.176363382373538
143.11923,44.24254,-14.754389999999999,-15.6039,9.244557062322754,8.42503397265332,0.8495100000000004,0.819523089669433,23.998947062322753,24.02893397265332
143.7858,43.67343,-14.505389999999998,-15.3439,9.500771940148683,8.858502457660034,0.8385100000000012,0.6422694824886488,24.00616194014868,24.202402457660035
144.48322,44.21919,-14.35339,-15.8269,9.572856391047608,8.294028137636598,1.473510000000001,1.2788282534110103,23.926246391047606,24.120928137636596
144.42099,44.4394,-14.341389999999999,-15.7769,9.66405262129114,8.337397965706359,1.4355100000000007,1.3266546555847807,24.005442621291138,24.114297965706356
145.39196,44.2069,-14.19639,-15.4499,9.754779878157715,8.807062350502441,1.2535100000000003,0.9477175276552732,23.951169878157714,24.25696235050244
143.18187,43.45062,-14.027389999999999,-14.8399,10.018933100606446,9.52948134093213,0.8125100000000014,0.4894517596743171,24.046323100606443,24.36938134093213
144.54231,44.96881,-13.915389999999999,-14.7399,10.117297824515626,9.598415281467773,0.8245100000000019,0.5188825430478534,24.032687824515627,24.33831528146777
143.54241,43.3215,-13.815389999999999,-15.2919,10.091410500267578,8.927418349872315,1.476510000000001,1.1639921503952628,23.90680050026758,24.219318349872317
144.7087,43.89311,-13.80839,-14.5189,10.236000022888183,9.756000022888184,0.7105100000000011,0.47999999999999865,24.04439002288818,24.274900022888183
144.02619,43.89059,-13.537389999999998,-14.0979,10.505419342621828,10.176121734328737,0.5605100000000007,0.32929760829309096,24.042809342621826,24.274021734328734
143.68322,43.38863,-13.534389999999998,-14.1959,10.541651743711919,10.102565775482908,0.6615100000000016,0.43908596822901025,24.07604174371192,24.29846577548291
144.02969,43.67465,-13.43839,-14.3539,10.599458545550297,9.90425926024487,0.9155099999999994,0.6951992853054261,24.037848545550297,24.25815926024487
144.97228,43.86741,-13.386389999999999,-14.5509,10.685299091429698,9.763274930908686,1.1645100000000017,0.922024160521012,24.071689091429697,24.314174930908685
144.22221,43.21545,-13.357389999999999,-14.0429,10.695521650122071,10.226019490338134,0.6855100000000007,0.4695021597839375,24.05291165012207,24.268919490338135
144.74443,43.63407,-13.32339,-14.0519,10.732356446478516,10.222937758816405,0.72851,0.5094186876621105,24.055746446478516,24.274837758816403
143.71177,43.79126,-13.26639,-13.7549,10.778296951723881,10.526055812620726,0.4885099999999998,0.2522411391031554,24.044686951723882,24.280955812620725
143.95453,43.86905,-13.24039,-14.4529,10.791807725740727,9.87834357746777,1.21251,0.913464148272956,24.032197725740726,24.33124357746777
144.38488,43.89315,-13.17639,-14.0139,10.860887243343749,10.256653035127442,0.83751,0.6042342082163064,24.03727724334375,24.270553035127442
144.13726,44.91308,-13.210389999999999,-13.9429,10.84525911847876,10.337942870417603,0.7325100000000013,0.5073162480611568,24.055649118478758,24.2808428704176
144.40277,43.70341,-13.171389999999999,-14.1339,10.848441425904296,10.12461081857251,0.9625100000000018,0.7238306073317862,24.019831425904293,24.25851081857251
144.0393,44.56674,-13.181389999999999,-14.1619,10.91236494672754,10.13329281884204,0.9805100000000007,0.7790721278854988,24.093754946727536,24.29519281884204
145.31427,44.50671,-13.24939,-13.8359,10.810994759771972,10.432619071377442,0.5865100000000005,0.37837568839453084,24.06038475977197,24.26851907137744
143.30034,43.75066,-13.120389999999999,-13.8519,10.946709363403322,10.440444764404296,0.7315100000000019,0.5062645989990262,24.067099363403322,24.292344764404298
145.20557,43.81783,-13.04539,-13.8109,11.004937914678957,10.461851072872925,0.7655100000000008,0.5430868418060317,24.050327914678956,24.272751072872925
144.51231,43.83716,-12.979389999999999,-13.6649,11.067521390722657,10.59801923093872,0.6855100000000007,0.4695021597839375,24.046911390722656,24.26291923093872
144.19617,44.5065,-12.786389999999999,-13.4939,11.260192955517342,10.7759918744447,0.707510000000001,0.4842010810726425,24.04658295551734,24.2698918744447
144.11588,43.32519,-12.67039,-13.341899999999999,11.37702731613867,10.929554396129884,0.6715099999999996,0.4474729200087868,24.04741731613867,24.271454396129883
144.29612,44.28384,-12.67039,-13.7429,11.372052451743409,10.53441027849231,1.0725100000000012,0.8376421732510995,24.04244245174341,24.27731027849231
144.68483,44.45686,-12.578389999999999,-13.4919,11.443251946944336,10.761826419105958,0.9135100000000005,0.6814255278383783,24.021641946944335,24.25372641910596
144.40517,44.57344,-12.568389999999999,-13.232899999999999,11.472121179498048,11.02255129150708,0.6645099999999999,0.4495698879909682,24.040511179498047,24.25545129150708
144.51805,44.65477,-12.546389999999999,-13.6759,11.562527214776857,10.601952125186036,1.1295100000000016,0.9605750895908205,24.108917214776856,24.277852125186037
143.06626,43.58819,-12.42339,-13.1349,11.64374021859131,11.15848949840088,0.7115100000000005,0.4852507201904306,24.06713021859131,24.293389498400877
143.87548,43.79316,-12.341389999999999,-13.0409,11.699974401402345,11.231521161115234,0.6995100000000019,0.4684532402871113,24.041364401402344,24.272421161115233
144.46438,44.44096,-12.29239,-13.1609,11.725902336505373,11.091033389852782,0.8685100000000006,0.6348689466525901,24.01829233650537,24.25193338985278
144.98389,43.5137,-12.245389999999999,-13.7029,11.816748527196294,10.608402179883297,1.457510000000001,1.2083463473129967,24.062138527196293,24.3113021798833
144.42179,43.82415,-12.15739,-13.3569,11.880217005560304,10.93357105502014,1.19951,0.9466459505401641,24.037607005560304,24.29047105502014
144.83962,43.79313,-12.19839,-13.0169,11.831025589280761,11.234179820868654,0.8185099999999998,0.5968457684121073,24.02941558928076,24.251079820868654
144.44776,43.8027,-12.168389999999999,-12.8809,11.85264408018213,11.36949359177539,0.7125100000000018,0.48315048840673924,24.021034080182126,24.250393591775392
144.36882,44.02117,-12.11539,-12.9109,11.89473965769996,11.334801813453486,0.7955100000000002,0.5599378442464733,24.01012965769996,24.245701813453486
143.08137,43.61153,-12.072389999999999,-12.8009,11.980384500108892,11.491983573157224,0.7285100000000018,0.4884009269516678,24.05277450010889,24.292883573157226
143.79008,43.43336,-11.953389999999999,-12.5969,12.097362530604006,11.676087010912598,0.6435100000000009,0.42127551969140775,24.050752530604004,24.272987010912598
143.05817,44.35465,-11.991389999999999,-12.8889,12.054944090420904,11.38940003654614,0.8975100000000005,0.665544053874763,24.046334090420903,24.278300036546142
143.24601,43.57015,-11.97039,-12.7479,12.101988397771974,11.547317309292726,0.7775099999999995,0.5546710884792478,24.072378397771974,24.295217309292724
145.50523,44.19615,-11.972389999999999,-12.9709,12.068921850038823,11.288786698424193,0.9985100000000013,0.7801351516146298,24.041311850038824,24.259686698424193
143.27591,44.48493,-11.934389999999999,-12.9309,12.089336250202395,11.338963848165404,0.9965100000000007,0.7503724020369908,24.023726250202394,24.269863848165404
144.92238,44.90221,-11.92239,-12.7689,12.102750358581543,11.491125358581543,0.8465100000000003,0.6116250000000001,24.025140358581545,24.260025358581544
143.22547,44.30013,-11.876389999999999,-12.6949,12.157205004907228,11.577238123309325,0.8185100000000016,0.5799668815979029,24.033595004907227,24.272138123309325
145.17596,44.75574,-11.92039,-13.3929,12.125018742457032,10.904759213976561,1.4725099999999998,1.2202595284804705,24.04540874245703,24.29765921397656
143.55101,43.49351,-11.84239,-12.5249,12.219783061071778,11.755528021313475,0.6825100000000006,0.46425503975830296,24.06217306107178,24.280428021313476
143.17753,44.29209,-11.87239,-12.7079,12.15171597213135,11.561201855090331,0.8355100000000011,0.5905141170410193,24.024105972131352,24.269101855090334
143.25873,44.24336,-11.854389999999999,-12.732899999999999,12.176901069354498,11.54203313078906,0.8785100000000003,0.6348679385654385,24.031291069354495,24.27493313078906
143.60345,43.45791,-11.81439,-12.6869,12.22532508486329,11.581997758776852,0.8725100000000001,0.6433273260864372,24.03971508486329,24.268897758776852
145.59459,43.91539,-11.85239,-12.578899999999999,12.192749171806398,11.674917803012818,0.7265099999999993,0.5178313687935798,24.045139171806397,24.253817803012815
144.10799,44.79496,-11.777389999999999,-12.4319,12.266559690181646,11.829568730501219,0.6545100000000019,0.43699095968042734,24.043949690181645,24.26146873050122
143.62329,43.49579,-11.72739,-12.6099,12.336855830664062,11.682952471020508,0.8825099999999999,0.6539033596435537,24.064245830664063,24.29285247102051
143.78772,43.15958,-11.72439,-12.9179,12.332531772794436,11.38909822264209,1.1935099999999998,0.9434335501523456,24.056921772794436,24.30699822264209
143.81896,43.48457,-11.693389999999999,-12.4919,12.344203800378425,11.764237924487302,0.7985100000000003,0.5799658758911228,24.037593800378424,24.2561379244873
144.72601,43.32962,-11.66339,-12.4459,12.38229079365381,11.821298851372557,0.7825100000000003,0.5609919422812535,24.04568079365381,24.267198851372555
145.19293,43.63963,-11.70439,-12.6939,12.34724038353296,11.57986443500354,0.9895099999999992,0.7673759485294198,24.05163038353296,24.27376443500354
144.8582,43.94543,-11.64139,-12.6759,12.39943931453956,11.582047806414304,1.034510000000001,0.8173915081252563,24.040829314539558,24.257947806414304
145.17391,44.35704,-11.67339,-12.3809,12.359836675716796,11.872485531770508,0.707510000000001,0.4873511439462881,24.033226675716797,24.25338553177051
144.81064,44.90966,-11.61139,-12.7999,12.460716624809328,11.488349790775269,1.188509999999999,0.9723668340340588,24.07210662480933,24.288249790775268
144.19543,44.64418,-11.54739,-12.3519,12.48999981967383,11.91425149397168,0.8045100000000005,0.5757483257021505,24.03738981967383,24.26615149397168
145.57939,43.96439,-11.597389999999999,-12.3399,12.444241229876468,11.91589094359448,0.7425100000000011,0.528350286281988,24.041631229876465,24.25579094359448
144.00789,44.61455,-11.55139,-12.4559,12.477050337127933,11.809390454147215,0.9045100000000001,0.6676598829807183,24.028440337127932,24.265290454147213
144.20629,43.12526,-11.505389999999998,-12.2589,12.549890023941408,12.018382624748048,0.7535100000000021,0.5315073991933605,24.055280023941407,24.277282624748047
143.94321,43.14013,-11.52839,-12.6069,12.554391162769534,11.683672834447753,1.0785099999999996,0.8707183283217805,24.082781162769535,24.29057283444775
145.11111,44.34112,-11.50739,-12.5529,12.5262319001438,11.703512094056519,1.0455100000000002,0.8227198060872816,24.0336219001438,24.256412094056518
143.6434,43.86078,-11.475389999999999,-12.3199,12.575664960969487,11.935511021559934,0.8445100000000014,0.6401539394095526,24.051054960969488,24.255411021559937
143.76969,43.81022,-11.463389999999999,-12.2659,12.556539381317386,12.000814434860105,0.8025100000000016,0.5557249464572802,24.019929381317382,24.266714434860106
144.50378,44.7215,-11.550389999999998,-12.4049,12.47692843165064,11.851571867396117,0.8545100000000012,0.6253565642545222,24.027318431650638,24.256471867396115
144.59895,44.15062,-11.405389999999999,-12.5269,12.624110935291508,11.74057651706494,1.1215100000000007,0.883534418226569,24.02950093529151,24.26747651706494
143.14516,44.38617,-11.450389999999999,-12.1489,12.605451702872074,12.126502103428466,0.6985100000000006,0.4789495994436077,24.055841702872073,24.275402103428465
143.31339,43.99617,-11.659389999999998,-12.4689,12.666613190082034,12.078208904073975,0.8095100000000013,0.5884042860080587,24.326003190082034,24.547108904073973
143.82308,43.39289,-11.39839,-12.261899999999999,12.650007110416015,12.013024108976563,0.8635099999999998,0.636983001439452,24.048397110416012,24.274924108976563
143.45345,43.87914,-11.393389999999998,-12.3169,12.67088904754004,11.957667162936522,0.923510000000002,0.7132218846035183,24.06427904754004,24.27456716293652
144.58748,43.7048,-11.395389999999999,-12.2799,12.658143470530762,11.978836029169434,0.8845100000000006,0.6793074413613276,24.05353347053076,24.258736029169434
143.58036,43.96699,-11.405389999999999,-12.2079,12.646145562831792,12.077775599626584,0.8025100000000016,0.5683699632052086,24.05153556283179,24.285675599626586
144.35845,44.40017,-11.379389999999999,-12.110899999999999,12.642003413245606,12.129430204845704,0.7315100000000001,0.5125732083999015,24.021393413245605,24.240330204845705
145.18236,43.68986,-11.38739,-12.2949,12.63881967715967,11.96586635313159,0.9075100000000003,0.6729533240280805,24.02620967715967,24.26076635313159
144.68097,44.21276,-11.33739,-12.4559,12.694110095875004,11.810576696447264,1.1185100000000006,0.8835333994277406,24.031500095875003,24.266476696447263
145.50534,43.74078,-11.443389999999999,-12.3979,12.597999999999999,11.854,0.9545100000000009,0.7439999999999998,24.04139,24.2519
144.25142,43.47417,-11.30439,-12.3199,12.723251254126954,11.946306044079101,1.0155100000000008,0.7769452100478524,24.027641254126955,24.2662060440791
143.09569,43.5338,-11.35939,-12.0689,12.701548413077152,12.220497964481932,0.7095099999999999,0.4810504485952194,24.060938413077153,24.289397964481932
144.12611,43.58502,-11.271389999999998,-12.1589,12.741560674896245,12.103520069961546,0.8875100000000007,0.6380406049346998,24.012950674896246,24.262420069961543
144.55413,43.57949,-11.303389999999998,-12.1069,12.742306702826172,12.160230758083983,0.8035100000000011,0.5820759447421882,24.04569670282617,24.267130758083983
143.05451,43.67333,-11.344389999999999,-11.9819,12.711631454234375,12.295592014429443,0.6375100000000007,0.41603943980493163,24.056021454234376,24.27749201442944
145.19038,44.07396,-11.28539,-12.3649,12.763913261705078,11.901735492560547,1.0795100000000009,0.8621777691445303,24.049303261705077,24.266635492560546
143.52211,44.22656,-11.216389999999999,-12.0009,12.8346532545542,12.255741335369384,0.7845100000000009,0.5789119191848151,24.051043254554198,24.256641335369384
145.28463,44.00513,-11.21839,-11.8799,12.822122082696296,12.3725511946748,0.6615099999999998,0.4495708880214959,24.040512082696296,24.252451194674798
143.74892,43.18874,-11.17339,-11.8069,12.87135429979884,12.473107357852044,0.6335100000000011,0.39824694194679644,24.04474429979884,24.280007357852043
144.37733,43.79661,-11.136389999999999,-12.2949,12.903369117651367,11.98883488087158,1.1585100000000015,0.9145342367797866,24.039759117651364,24.28373488087158
144.18961,44.76377,-11.193389999999999,-11.9319,12.850495127681642,12.327404398439452,0.7385100000000016,0.52309072924219,24.04388512768164,24.259304398439454
143.18653,43.58189,-11.178389999999998,-12.1569,12.876674663498779,12.119927118323853,0.9785100000000018,0.7567475451749264,24.055064663498776,24.27682711832385
145.28401,43.66801,-11.209389999999999,-12.4329,12.830340502501464,11.864405970215332,1.223510000000001,0.9659345322861324,24.039730502501463,24.297305970215334
145.53123,44.32269,-11.23639,-12.4609,12.80234781321144,11.819254590708734,1.2245100000000004,0.9830932225027063,24.03873781321144,24.280154590708733
143.19221,44.29008,-11.142389999999999,-12.139899999999999,12.888776638409182,12.149023946572997,0.9975100000000001,0.7397526918361841,24.031166638409182,24.288923946572996
144.97266,43.92546,-11.10539,-11.8639,12.941586902799317,12.395341936020996,0.7585099999999994,0.5462449667783211,24.046976902799315,24.259241936020995
144.22843,44.72755,-11.142389999999999,-12.1069,12.914780593347169,12.165469871783449,0.9645100000000006,0.7493107215637203,24.057170593347166,24.272369871783447
144.08763,44.02976,-11.05139,-11.7419,12.972593510254882,12.512534902282226,0.6905099999999997,0.4600586079726554,24.02398351025488,24.254434902282227
144.45799,44.16047,-10.99439,-11.7019,13.037868831258791,12.538961424061768,0.707510000000001,0.49890740719702364,24.03225883125879,24.24086142406177
144.86844,43.91448,-10.995389999999999,-11.6799,13.011027140662597,12.56355422065381,0.6845100000000013,0.4474729200087868,24.006417140662595,24.24345422065381
144.60383,44.12625,-10.96139,-12.0549,13.069234764793945,12.210259040485107,1.0935100000000002,0.8589757243088378,24.030624764793945,24.26515904048511
144.20672,43.74555,-10.97039,-11.5909,13.060535214352786,12.658104165589721,0.6205099999999995,0.4024310487630647,24.030925214352784,24.24900416558972
143.10335,44.26458,-10.988389999999999,-11.9129,13.075339648069829,12.372721685974852,0.9245100000000015,0.7026179620949762,24.063729648069828,24.285621685974853
143.58762,44.25317,-10.94639,-11.6599,13.101772879952158,12.604965950313229,0.7135100000000012,0.4968069296389288,24.04816287995216,24.26486595031323
144.53849,44.93765,-10.966389999999999,-12.328899999999999,13.078666495186525,11.950315128871582,1.3625100000000003,1.1283513663149431,24.04505649518652,24.27921512887158
143.81333,44.34002,-10.91739,-11.735899999999999,13.140302300253664,12.527620849232298,0.8185099999999998,0.6126814510213663,24.057692300253663,24.263520849232297
144.56392,44.61138,-10.95439,-11.9929,13.120675677877443,12.262766527363768,1.0385100000000005,0.8579091505136756,24.075065677877443,24.25566652736377
145.11974,44.36903,-10.989389999999998,-11.9269,13.084899668556885,12.323901743480347,0.9375100000000014,0.7609979250765377,24.074289668556883,24.250801743480345
143.0939,44.11665,-10.879389999999999,-11.5899,13.171096022700441,12.688996078920777,0.7105100000000011,0.48209994377966403,24.05048602270044,24.278896078920777
145.63197,44.24679,-10.908389999999999,-11.6229,13.127772902840341,12.630965973201413,0.7145100000000006,0.4968069296389288,24.03616290284034,24.253865973201414
143.95176,43.66862,-10.83339,-11.6479,13.220577319284915,12.622675772120237,0.8145100000000003,0.5979015471646782,24.053967319284915,24.27057577212024
144.46137,44.17469,-10.764389999999999,-11.8929,13.24971128740454,12.3821961560719,1.1285100000000003,0.8675151313326399,24.01410128740454,24.2750961560719
142.90884,44.04159,-10.79439,-11.6119,13.268819377523439,12.67619423122119,0.8175100000000004,0.5926251463022485,24.06320937752344,24.28809423122119
144.59757,44.5971,-10.80539,-11.5159,13.244905664361328,12.734435183566406,0.7105100000000011,0.5104704807949219,24.05029566436133,24.250335183566406
145.28384,44.25127,-10.755389999999998,-11.5829,13.260063029255617,12.672713083760865,0.827510000000002,0.5873499454947524,24.015453029255617,24.255613083760863
144.25135,44.87297,-10.76539,-11.4929,13.262222937170417,12.766468178479002,0.7275100000000005,0.4957547586914153,24.027612937170417,24.259368178479
145.27174,43.66111,-10.78239,-11.623899999999999,13.258510699700928,12.641604978823853,0.8415099999999995,0.6169057208770745,24.040900699700927,24.265504978823852
143.78628,43.2386,-10.70239,-11.7759,13.362641463258303,12.514335423003418,1.0735100000000006,0.8483060402548848,24.0650314632583,24.290235423003416
143.30759,43.34377,-10.725389999999999,-11.5489,13.351406386395508,12.736612896432373,0.8235100000000006,0.6147934899631355,24.076796386395507,24.285512896432373
145.14545,44.26245,-10.71439,-11.8329,13.322550891351318,12.440085169100954,1.1185100000000006,0.8824657222503642,24.036940891351318,24.272985169100956
144.29307,43.73551,-10.838389999999999,-11.7069,13.635267372712159,13.043697765059935,0.8685100000000006,0.5915696076522234,24.473657372712157,24.750597765059936
144.98714,43.64109,-10.72039,-11.9629,13.3293615930542,12.329099438763429,1.2425099999999993,1.0002621542907715,24.0497515930542,24.291999438763426
143.90834,44.72436,-10.741389999999999,-11.5579,13.316439182178714,12.711148859075438,0.816510000000001,0.6052903231032758,24.057829182178715,24.26904885907544
144.35539,44.1819,-10.65739,-11.3979,13.366297420157716,12.847414877109863,0.7405100000000004,0.5188825430478534,24.023687420157714,24.245314877109863
144.90674,43.77039,-10.67339,-11.3639,13.375740569543458,12.890489849353028,0.6905099999999997,0.4852507201904306,24.049130569543458,24.254389849353025
144.52205,44.27181,-10.629389999999999,-11.8249,13.374105610620362,12.44673166810901,1.1955100000000005,0.9273739425113519,24.003495610620362,24.27163166810901
143.86941,43.92891,-10.62239,-11.4119,13.422493377881837,12.85728556813916,0.7895099999999999,0.5652078097426774,24.04488337788184,24.269185568139157
143.81079,43.96741,-10.62139,-11.4599,13.432271489904785,12.810083848095703,0.8385099999999994,0.6221876418090826,24.053661489904783,24.269983848095702
145.58745,44.2605,-10.643389999999998,-11.495899999999999,13.400348662078613,12.766537174850585,0.8525100000000005,0.6338114872280283,24.04373866207861,24.262437174850582
144.31635,43.53001,-10.598389999999998,-11.9169,13.464425618630615,12.380282815226929,1.3185100000000016,1.0841428034036866,24.062815618630616,24.29718281522693
144.92218,44.36399,-10.61239,-11.3279,13.401740592431642,12.916489872241211,0.7155100000000001,0.4852507201904306,24.01413059243164,24.24438987224121
144.44045,44.82993,-10.65339,-11.6609,13.403823092464357,12.616240358827637,1.00751,0.7875827336367198,24.05721309246436,24.277140358827637
144.83238,43.63881,-10.55839,-11.2539,13.510905458367676,13.000434977572754,0.6955100000000005,0.5104704807949219,24.069295458367677,24.254334977572753
143.17367,43.70615,-10.54239,-11.2849,13.52534008189234,12.994885436196164,0.7425100000000011,0.5304546456961763,24.06773008189234,24.279785436196164
143.48818,43.94817,-10.511389999999999,-11.3119,13.532898765159668,12.95925892659375,0.8005100000000009,0.5736398385659189,24.044288765159667,24.27115892659375
144.15337,43.58263,-10.48439,-11.264899999999999,13.53288982557715,13.00138242638379,0.7805099999999996,0.5315073991933605,24.01727982557715,24.26628242638379
143.43691,43.72029,-10.49339,-11.3479,13.536990016412354,12.930644537234498,0.8545099999999994,0.6063454791778558,24.03038001641235,24.278544537234495
144.26399,43.70931,-10.45239,-11.2349,13.576841740381104,13.014795652026246,0.7825100000000003,0.5620460883548581,24.029231740381103,24.249695652026247
144.01215,44.68669,-10.50339,-11.2539,13.53444003616333,13.001879835433959,0.7505100000000002,0.532560200729371,24.037830036163328,24.25577983543396
144.22533,43.82969,-10.443389999999999,-11.357899999999999,13.57715768993531,12.907380776461789,0.9145099999999999,0.6697769134735214,24.02054768993531,24.265280776461786
144.61101,44.9158,-10.504389999999999,-11.1769,13.560739512719737,13.075489794116205,0.6725100000000008,0.48524971860353183,24.065129512719736,24.252389794116205
143.34032,43.80997,-10.45439,-11.2929,13.608824644352788,12.985580071317258,0.8385099999999994,0.6232445730355298,24.06321464435279,24.278480071317258
