file,jd,hjd,airmass,mag,mag_err,snr,zp_avg,zp_err,n_ensemble,flag
corr_Master_L_AE_00014.fits,2461142.3509278446,2461142.3526554927,1.06366207623166,11.439671489487433,0.010360412306543462,400.78988064387323,24.700539548570447,0.01,1,OK
corr_Master_L_AE_00015.fits,2461142.3523225714,2461142.354050105,1.06492230279096,11.440126526486672,0.01033129824633761,418.32875080875664,24.72715091371234,0.01,1,OK
corr_Master_L_AE_00016.fits,2461142.3537167935,2461142.355444213,1.06620328395952,11.431539459637923,0.010379061975637677,390.62733606712914,24.688564424876287,0.01,1,OK
corr_Master_L_AE_00017.fits,2461142.3551113904,2461142.3568386952,1.06754910032955,11.431067220895775,0.01034582506368598,409.3020803294338,24.723185333499927,0.01,1,OK
corr_Master_L_AE_00018.fits,2461142.3565052636,2461142.3582324544,1.06891398022276,11.385469808860005,0.010341287848270403,412.0597573257259,24.704433220750794,0.01,1,OK
corr_Master_L_AE_00019.fits,2461142.357900051,2461142.3596271276,1.0702868866421,11.357041484073777,0.010324755350527773,422.5898064522063,24.70573229816881,0.01,1,OK
corr_Master_L_AE_00020.fits,2461142.359294549,2461142.361021511,1.07170157163096,11.32895297267224,0.010294523171133961,444.0794515624531,24.72771475141778,0.01,1,OK
corr_Master_L_AE_00021.fits,2461142.3606891953,2461142.362416043,1.07318336157437,11.275805313827403,0.01028982623581793,447.7151863830115,24.712605459904555,0.01,1,OK
corr_Master_L_AE_00022.fits,2461142.3620836884,2461142.3638104214,1.07468364744146,11.208466330209864,0.010303979888789085,437.01548381382565,24.683760023784956,0.01,1,OK
corr_Master_L_AE_00023.fits,2461142.363478492,2461142.365205111,1.07620041900792,11.136135720310845,0.010280062480579947,455.5622486101358,24.685103006386505,0.01,1,OK
corr_Master_L_AE_00024.fits,2461142.364873182,2461142.3665996864,1.07773728998211,11.048700012366172,0.010231873341392597,501.2638424270758,24.6977852370227,0.01,1,OK
