id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err,airmass,is_variable
Auto_001,593.96,1501.32,593.87,1501.40,143.05963,43.73771,09h32m14.31s,+43d44m15.8s,65280.0,978091.000,1222401.941,1049.230,1165.05,-15.218,0.001,8.464,0.038,1.0554,No
Auto_002,4266.91,4143.99,4266.95,4144.20,145.45534,43.63724,09h41m49.28s,+43d38m14.1s,65280.0,925139.000,1250197.934,1076.708,1161.13,-15.242,0.001,8.439,0.038,1.0554,No
Auto_003,295.79,2638.46,295.81,2638.44,143.25717,43.31058,09h33m01.72s,+43d18m38.1s,65280.0,653020.000,782824.399,825.456,948.35,-14.734,0.001,8.948,0.038,1.0554,No
Auto_004,5016.09,1836.65,5016.11,1836.67,145.14896,44.54137,09h40m35.75s,+44d32m28.9s,65280.0,585038.000,697693.144,775.802,899.32,-14.609,0.001,9.073,0.038,1.0554,No
Auto_005,1409.46,461.85,1409.50,461.83,143.11923,44.24253,09h32m28.61s,+44d14m33.1s,53546.0,485253.000,567447.311,697.082,814.03,-14.385,0.001,9.297,0.038,1.0554,No
Auto_006,1652.80,2387.06,1652.80,2387.05,143.78586,43.67344,09h35m08.61s,+43d40m24.4s,61727.0,405343.000,451233.287,624.989,721.99,-14.136,0.002,9.546,0.038,1.0554,No
Auto_007,3519.10,1891.24,3519.11,1891.26,144.48331,44.21913,09h37m55.99s,+44d13m08.9s,55861.0,351445.000,392111.039,583.066,672.50,-13.984,0.002,9.698,0.038,1.0554,No
Auto_008,3727.35,1344.42,3727.36,1344.42,144.42099,44.43937,09h37m41.04s,+44d26m21.7s,45856.0,338772.000,387991.121,578.535,670.64,-13.972,0.002,9.710,0.038,1.0554,No
Auto_009,4943.15,2816.21,4943.19,2816.24,145.39198,44.20690,09h41m34.08s,+44d12m24.8s,38166.0,287933.000,339399.414,546.156,621.43,-13.827,0.002,9.855,0.038,1.0554,No
Auto_010,376.55,2254.26,376.51,2254.31,143.18186,43.45066,09h32m43.65s,+43d27m02.4s,26436.0,248098.000,290629.220,510.131,569.71,-13.658,0.002,10.024,0.038,1.0554,No
Auto_011,4655.62,296.04,4655.69,296.04,144.54235,44.96886,09h38m10.16s,+44d58m07.9s,25409.0,223624.000,261994.266,487.505,537.42,-13.546,0.002,10.136,0.038,1.0554,No
Auto_012,4999.76,3990.22,4999.83,3990.23,145.74365,43.83444,09h42m58.48s,+43d50m04.0s,24440.0,216379.000,257566.112,480.867,535.63,-13.527,0.002,10.155,0.038,1.0554,No
