id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err,airmass
Auto_001,4288.57,4146.47,4287.59,4146.87,145.45595,43.63746,09h41m49.43s,+43d38m14.8s,65002.0,1169706.000,3094334.015,2425.128,1275.95,-16.226,0.001,7.470,0.112,1.1095
Auto_002,1433.27,464.85,1433.28,464.73,143.11923,44.24254,09h32m28.61s,+44d14m33.1s,65002.0,1058540.000,1422000.102,1153.836,1232.41,-15.382,0.001,8.314,0.112,1.1095
Auto_003,4414.90,3137.01,4415.27,3136.99,145.23193,43.99247,09h40m55.66s,+43d59m32.9s,65002.0,1054679.000,2211188.344,1565.242,1412.68,-15.862,0.001,7.835,0.112,1.1095
Auto_004,3540.86,1894.26,3541.07,1894.49,144.48322,44.21919,09h37m55.97s,+44d13m09.1s,65002.0,1026516.000,1746444.946,1301.804,1341.56,-15.605,0.001,8.091,0.112,1.1095
Auto_005,3749.34,1347.95,3749.46,1347.94,144.42099,44.43940,09h37m41.04s,+44d26m21.9s,65002.0,1009530.000,1667666.580,1258.122,1325.52,-15.555,0.001,8.141,0.112,1.1095
Auto_006,319.35,2639.72,319.24,2639.88,143.25714,43.31062,09h33m01.71s,+43d18m38.2s,65002.0,990030.000,1740935.148,1349.942,1289.64,-15.602,0.001,8.094,0.112,1.1095
Auto_007,617.85,1503.52,617.77,1503.49,143.05966,43.73769,09h32m14.32s,+43d44m15.7s,65002.0,936232.000,1976752.977,1505.045,1313.42,-15.740,0.001,7.957,0.112,1.1095
Auto_008,1675.41,2389.16,1675.51,2389.19,143.78580,43.67343,09h35m08.59s,+43d40m24.4s,65002.0,882208.000,1118776.250,998.803,1120.12,-15.122,0.001,8.575,0.112,1.1095
Auto_009,789.86,2910.47,789.84,2910.48,143.54241,43.32150,09h34m10.18s,+43d19m17.4s,65002.0,853390.000,1066438.600,971.982,1097.18,-15.070,0.001,8.627,0.112,1.1095
Auto_010,4963.57,2819.58,4963.77,2819.67,145.39196,44.20690,09h41m34.07s,+44d12m24.8s,65002.0,846802.000,1234100.541,1069.120,1154.31,-15.228,0.001,8.468,0.112,1.1095
Auto_011,5036.77,1840.66,5036.93,1840.65,145.14888,44.54131,09h40m35.73s,+44d32m28.7s,65002.0,824447.000,1220924.115,1062.570,1149.03,-15.217,0.001,8.480,0.112,1.1095
Auto_012,400.18,2255.95,400.18,2255.94,143.18187,43.45062,09h32m43.65s,+43d27m02.2s,65002.0,589292.000,703220.977,790.161,889.97,-14.618,0.001,9.079,0.112,1.1095
Auto_013,4677.32,300.72,4677.46,300.64,144.54231,44.96881,09h38m10.16s,+44d58m07.7s,48475.0,475848.000,641799.424,758.558,846.08,-14.518,0.001,9.178,0.112,1.1095
Auto_014,5019.64,3992.84,5019.77,3992.97,145.74360,43.83447,09h42m58.46s,+43d50m04.1s,35171.0,410983.000,595802.890,735.180,810.42,-14.438,0.001,9.259,0.112,1.1095
Auto_015,2217.71,2132.04,2217.79,2132.05,143.95453,43.86905,09h35m49.09s,+43d52m08.6s,34968.0,393448.000,492269.895,663.428,742.01,-14.231,0.001,9.466,0.112,1.1095
Auto_016,3829.24,3156.23,3829.37,3156.30,144.97228,43.86741,09h39m53.35s,+43d52m02.7s,34984.0,392006.000,538863.073,693.218,777.34,-14.329,0.001,9.368,0.112,1.1095
Auto_017,3445.45,2836.95,3445.60,2836.96,144.70870,43.89311,09h38m50.09s,+43d53m35.2s,33519.0,380239.000,523548.305,684.516,764.84,-14.297,0.001,9.399,0.112,1.1095
Auto_018,2063.75,2634.35,2063.81,2634.38,144.02969,43.67465,09h36m07.13s,+43d40m28.7s,31129.0,353021.000,449415.080,631.496,711.67,-14.132,0.002,9.565,0.112,1.1095
Auto_019,5606.88,1641.12,5607.06,1641.11,145.35293,44.72112,09h41m24.70s,+44d43m16.0s,28239.0,321951.000,429654.593,628.746,683.35,-14.083,0.002,9.614,0.112,1.1095
Auto_020,1109.68,2908.10,1109.69,2908.14,143.68322,43.38863,09h34m43.97s,+43d23m19.1s,32870.0,317418.000,388758.320,592.285,656.37,-13.974,0.002,9.722,0.112,1.1095
Auto_021,3329.65,687.71,3329.75,687.67,144.03930,44.56674,09h36m09.43s,+44d34m00.3s,26907.0,295317.000,376672.204,585.327,643.52,-13.940,0.002,9.757,0.112,1.1095
Auto_022,2696.24,2948.04,2696.32,2948.07,144.40277,43.70341,09h37m36.67s,+43d42m12.3s,24830.0,280795.000,366956.445,577.659,635.25,-13.912,0.002,9.785,0.112,1.1095
