id,ra_deg,dec_deg,V_mag,B_mag,raw_g,raw_r,raw_G,raw_BP,raw_RP
online_0,144.94501809,43.18897033,15.78518967935254,17.296404668394533,16.420000076293945,15.208999633789062,nan,nan,nan
online_1,144.94647615,43.18850717,13.760119268534057,15.243945430522217,14.381999969482422,13.196000099182129,nan,nan,nan
online_2,144.97253011,43.22010797,15.606741167522705,16.18565308670752,15.798999786376953,15.454999923706055,nan,nan,nan
online_3,145.06342246,43.25408194,15.19306069421582,16.429574641231447,15.697999954223633,14.73900032043457,nan,nan,nan
online_4,145.06470133,43.25548722,15.946905208892822,16.611390410766603,16.18000030517578,15.755000114440918,nan,nan,nan
online_5,145.02265048,43.2493108,16.47648402431689,17.122984160838882,16.701000213623047,16.292999267578125,nan,nan,nan
online_6,145.02161285,43.25685652,15.566258987079346,16.425234711388185,15.892000198364258,15.284000396728516,nan,nan,nan
online_7,145.05746817,43.29002599,14.083877985565918,15.05302794152686,14.461999893188477,13.75100040435791,nan,nan,nan
online_8,145.2057758,43.32043885,17.511194342177244,18.21911366549903,17.764999389648438,17.298999786376953,nan,nan,nan
online_9,145.07146748,43.30705953,15.036058910915038,15.66458583722754,15.251999855041504,14.861000061035156,nan,nan,nan
online_10,145.15833438,43.35640155,16.020661281972163,17.56478037184669,16.67099952697754,15.430000305175781,nan,nan,nan
online_11,143.84989125,43.11781191,13.661744736938477,14.645910146179203,14.04699993133545,13.321999549865723,nan,nan,nan
online_12,143.8696772,43.1004697,16.650368576623034,17.979197645948272,17.198999404907227,16.155000686645508,nan,nan,nan
online_13,143.86742727,43.13542376,17.247720029144286,18.692159612121586,17.85099983215332,16.701000213623047,nan,nan,nan
online_14,143.89330118,43.14125606,16.972784924179198,18.41285240811133,17.573999404907227,16.42799949645996,nan,nan,nan
online_15,143.84710694,43.13450156,17.447645145874006,18.16510852722172,17.70599937438965,17.231000900268555,nan,nan,nan
online_16,143.881454,43.16366632,17.977313910668453,19.34643669282325,18.545000076293945,17.464000701904297,nan,nan,nan
online_17,143.86354039,43.13523308,13.283628890629391,13.894198494681158,13.491000175476074,13.116999626159668,nan,nan,nan
online_18,143.82263606,43.16855867,16.94551076937793,17.58566571710352,17.16699981689453,16.764999389648438,nan,nan,nan
online_19,143.82458686,43.15545123,17.95504285895068,19.151481832757828,18.44099998474121,17.518999099731445,nan,nan,nan
online_20,143.77477568,43.15330772,15.260727306853514,15.843857352235354,15.454999923706055,15.107000350952148,nan,nan,nan
online_21,143.78586087,43.17059105,15.411643940744508,16.79275908506372,15.984999656677246,14.892999649047852,nan,nan,nan
online_22,143.78767076,43.15951291,11.38909822264209,12.332531772794436,11.755000114440918,11.067999839782715,nan,nan,nan
online_23,143.74891851,43.18862072,12.473107357852044,12.87135429979884,12.579000473022461,12.406999588012695,nan,nan,nan
online_24,143.77258526,43.18640413,13.934857858569332,14.77996372622071,14.253999710083008,13.659000396728516,nan,nan,nan
online_25,143.77504488,43.1873418,14.522238108276856,15.221676638365723,14.772000312805176,14.314000129699707,nan,nan,nan
online_26,143.78961793,43.21609616,14.41940984568005,15.082837252914805,14.652000427246094,14.227999687194824,nan,nan,nan
online_27,143.82546443,43.22566691,13.695801874488643,14.255739718735116,13.878999710083008,13.553000450134277,nan,nan,nan
online_28,143.7421213,43.21248639,17.97001179977588,19.39478194244043,18.56399917602539,17.43199920654297,nan,nan,nan
online_29,143.74196108,43.20153671,16.348406176208982,17.31434070849512,16.725000381469727,16.017000198364258,nan,nan,nan
online_30,143.73047905,43.2502156,17.44433177778125,18.84726430088282,18.027999877929688,16.916000366210938,nan,nan,nan
online_31,143.73630189,43.23291665,17.858974555808587,18.351579101883807,18.010000228881836,17.74799919128418,nan,nan,nan
online_32,143.78621651,43.23851488,12.514335423003418,13.362641463258303,12.835000038146973,12.237000465393066,nan,nan,nan
online_33,143.79563888,43.27021803,16.311960951597168,16.963748720584963,16.538999557495117,16.125999450683594,nan,nan,nan
online_34,143.77760244,43.29406028,17.738910108708982,19.267668018055677,18.381999969482422,17.155000686645508,nan,nan,nan
online_35,143.60162929,43.1768408,16.469682777057606,17.654220185020534,16.950000762939453,16.038999557495117,nan,nan,nan
online_36,143.63519611,43.18794764,17.073505576725584,17.81644418407325,17.3439998626709,16.844999313354492,nan,nan,nan
online_37,143.63563416,43.18807857,16.640334360310547,18.07712275276758,17.239999771118164,16.097000122070312,nan,nan,nan
online_38,143.64811524,43.18435566,13.96150994899292,14.436260428857421,14.104000091552734,13.859000205993652,nan,nan,nan
online_39,143.58950662,43.20184957,17.019969132157712,18.085806196744148,17.444000244140625,16.64299964904785,nan,nan,nan
online_40,143.58979321,43.20191036,17.024392463849363,18.09776580777491,17.45199966430664,16.643999099731445,nan,nan,nan
online_41,143.60772087,43.20904309,14.906875684313476,15.577711689844726,15.142999649047852,14.711999893188477,nan,nan,nan
online_42,143.62503485,43.2063178,13.226278902649414,13.793594431639647,13.413000106811523,13.079999923706055,nan,nan,nan
online_43,143.62884195,43.23758419,16.279395049465823,17.186442734930665,16.628000259399414,15.975000381469727,nan,nan,nan
online_44,143.57731227,43.21660831,15.678258789264648,16.25189862783057,15.868000030517578,15.529000282287598,nan,nan,nan
online_45,143.53060805,43.20958762,16.190647749401855,17.185542780920414,16.58099937438965,15.845999717712402,nan,nan,nan
online_46,143.53403842,43.22651909,14.527267104709958,15.310594658683112,14.817000389099121,14.279999732971191,nan,nan,nan
online_47,143.54250794,43.25037512,15.722479811019896,16.78724001632691,16.145999908447266,15.345999717712402,nan,nan,nan
online_48,143.59488177,43.25231708,16.57595184273363,17.079064789874536,16.73200035095215,16.459999084472656,nan,nan,nan
online_49,143.60354378,43.22758226,16.136756279981203,17.27050452988135,16.593000411987305,15.729000091552734,nan,nan,nan
online_50,143.68324895,43.23390947,14.57688599673169,15.245604875738282,14.812000274658203,14.383000373840332,nan,nan,nan
online_51,143.65175606,43.25782913,15.083290459789307,15.772131307289063,15.32800006866455,14.880000114440918,nan,nan,nan
online_52,143.68456205,43.27327604,16.93025465174389,17.913347874246597,17.315000534057617,16.590999603271484,nan,nan,nan
online_53,143.68993709,43.27999477,17.878837875725587,19.348434539076173,18.493999481201172,17.320999145507812,nan,nan,nan
online_54,143.65630894,43.2910906,16.001124516450684,16.35755866058008,16.086999893188477,15.954999923706055,nan,nan,nan
online_55,143.65820194,43.31108685,15.968876568225095,16.734126654809575,16.25,15.729999542236328,nan,nan,nan
online_56,143.67293417,43.29607532,16.07478199892444,16.641043141738525,16.26099967956543,15.928999900817871,nan,nan,nan
online_57,143.67917011,43.32086117,15.4659421761427,15.973258424203857,15.62399959564209,15.347999572753906,nan,nan,nan
online_58,143.63213582,43.31362782,16.856183660780516,17.566224673678228,17.111000061035156,16.64299964904785,nan,nan,nan
online_59,143.69591236,43.33547514,15.436904980010986,16.101390181884764,15.670000076293945,15.244999885559082,nan,nan,nan
online_60,143.71686897,43.37962805,17.381395076794433,18.221169639501955,17.697999954223633,17.107999801635742,nan,nan,nan
online_61,144.41347425,43.05539625,12.247826480141114,12.929252007979493,12.48900032043457,12.04800033569336,nan,nan,nan
online_62,144.5430992,43.06481156,14.476230742825194,15.058306687567383,14.670000076293945,14.322999954223633,nan,nan,nan
online_63,144.54142888,43.07473004,17.556737412659423,18.931311399046393,18.12700080871582,17.041000366210938,nan,nan,nan
online_64,144.54773823,43.09110132,15.633667275912595,16.34689017199073,15.890000343322754,15.418999671936035,nan,nan,nan
online_65,144.60416699,43.12743171,17.577348076959957,18.121488248545912,17.753000259399414,17.441999435424805,nan,nan,nan
online_66,144.50162788,43.08473849,15.582956965182493,16.08396604400025,15.73799991607666,15.468000411987305,nan,nan,nan
online_67,144.56260251,43.15006464,17.69845924700878,18.198418969361345,17.85300064086914,17.583999633789062,nan,nan,nan
online_68,144.55704419,43.12551426,14.161321251080809,14.843805389073736,14.402999877929688,13.961000442504883,nan,nan,nan
online_69,144.56764608,43.13927757,16.536113396655274,17.76829191396485,17.038999557495117,16.083999633789062,nan,nan,nan
online_70,144.54386291,43.15945445,17.396948227918212,18.826087781834477,17.993000030517578,16.85700035095215,nan,nan,nan
online_71,144.54830302,43.17942374,16.22430592200879,17.001251132056645,16.51099967956543,15.979999542236328,nan,nan,nan
online_72,144.56921123,43.19175619,15.61989647912793,16.586902430538093,15.996999740600586,15.288000106811523,nan,nan,nan
online_73,144.58506481,43.17716892,15.38918734470752,16.32191328971094,15.75,15.072999954223633,nan,nan,nan
online_74,144.11968304,43.05010418,17.618947436477523,18.68693836373929,18.04400062561035,17.240999221801758,nan,nan,nan
online_75,144.08495198,43.07642131,17.749525844739257,19.103394965794926,18.309999465942383,17.243000030517578,nan,nan,nan
online_76,144.18997655,43.0482648,16.87177166477588,18.34574561087793,17.48900032043457,16.312000274658203,nan,nan,nan
online_77,144.21496357,43.07232765,15.948687032409179,16.9392896391001,16.336999893188477,15.605999946594238,nan,nan,nan
online_78,144.21526007,43.07252093,15.960713468395866,17.00180312760036,16.37299919128418,15.595000267028809,nan,nan,nan
online_79,144.15093768,43.06099541,17.529028647375963,18.683296617601595,17.9950008392334,17.11199951171875,nan,nan,nan
online_80,144.2048347,43.10679873,17.09271991470337,17.677960317077638,17.288000106811523,16.937999725341797,nan,nan,nan
online_81,144.25265297,43.1398202,14.549979651533933,15.197535806490238,14.774999618530273,14.366000175476074,nan,nan,nan
