id,ra_deg,dec_deg,V_mag,B_mag,raw_g,raw_r,raw_G,raw_BP,raw_RP
online_0,144.39289167857,43.82409973401,17.399829034970896,19.67783916311882,nan,nan,18.105465,19.610132,16.889217
online_1,144.37467560793,43.82477960678,13.583796056090236,14.478280484558878,nan,nan,13.710633,14.057027,13.158388
online_2,144.42440217015,43.83400129922,17.11517712529677,18.17592389739058,nan,nan,17.295778,17.780533,16.656282
online_3,144.45078735029,43.83766855821,16.01312251026809,16.924198962429433,nan,nan,16.144922,16.521254,15.600026
online_4,144.39691874671,43.84442652081,14.747320296560465,15.812909558345858,nan,nan,14.929613,15.41222,14.281423
online_5,144.42518512019,43.85708217817,16.581182735583955,17.37009154810113,nan,nan,16.67877,16.976812,16.222284
online_6,144.43263085686,43.8568680277,14.630830665710306,15.544261480044533,nan,nan,14.763342,15.140056,14.215624
online_7,144.4396497027,43.88034291678,17.130383126034037,19.041807738620058,nan,nan,17.671844,18.8533,16.60247
online_8,144.28470855736,43.83051595394,17.73359098409774,20.058212119106788,nan,nan,18.459217,20.009438,17.229448
online_9,144.28279779445,43.8297934276,16.397299354459154,17.392612854102143,nan,nan,16.555708,16.991966,15.956307
online_10,144.2885198114,43.82971647544,16.439231994716735,17.823848412269992,nan,nan,16.745422,17.479513,15.920706
online_11,144.24048494901,43.86885231522,17.155338472020027,18.45528442987751,nan,nan,17.426556,18.09358,16.647734
online_12,144.31757339512,43.84642339467,16.344917666757073,17.187025783489084,nan,nan,16.456728,16.785017,15.957791
online_13,144.31785505821,43.87316356151,13.614791486681883,14.56217136785103,nan,nan,13.757775,14.158567,13.187971
online_14,144.34714335711,43.89221414724,14.376758700554332,15.892369613172853,nan,nan,14.739252,15.572359,13.839717
online_15,144.38536774782,43.89342696501,9.979763808899971,10.797859733177537,nan,nan,10.085021,10.399855,9.605422
online_16,144.39100872653,43.91274211892,17.230019872126483,19.442543666631085,nan,nan,17.90713,19.374823,16.737173
online_17,144.40902841107,43.93641947072,16.752824261036533,18.05527322910992,nan,nan,17.025057,17.703102,16.25391
online_18,144.31344556952,43.8844173604,16.690319750533483,17.649696536242516,nan,nan,16.837095,17.241598,16.254705
online_19,144.29101756322,43.90784749791,17.443734749871417,18.651745917806995,nan,nan,17.678545,18.24442,16.92175
online_20,144.26871573546,43.90314638358,17.303069657389383,18.803998466473818,nan,nan,17.65914,18.485064,16.771849
online_21,144.35529972448,43.94313077881,12.422557387818662,13.50225631219473,nan,nan,12.609817,13.109304,11.959442
